Value,Timestamp,MetricId,Unit,Description,Entity,IntervalSecs
65,11/26/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
60,11/25/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
57,11/24/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
57,11/23/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
60,11/22/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
118,11/21/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
88,11/20/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
69,11/19/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
65,11/18/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
86,11/17/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
135,11/16/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
89,11/15/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
158,11/14/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
76,11/13/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
67,11/12/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
61,11/11/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
60,11/10/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
147,11/9/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
43,11/8/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
17,1/1/17 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
15,12/31/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
39,12/30/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
39,12/29/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
40,12/28/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
53,12/27/16 18:00,net.usage.average,KBps,Network utilization (combined transmit-rates and receive-rates) during the interval,php5_server,86400
